item_id,description,manufacturer_name
029900178,PRESSURE SWITCH N.C.,RTX
02CSCZ-0250075,1/4-20 X3/4 HEX HD CAP SCRW ZN,COP
02-FL01-01,SCINTERED EOL FILTER,XTR
02G-0250,"2.5"" GRV BFV W/SWITCH UL/FM",KEN
02G-0300,"3"" GRV BFV W/SWITCH UL/FM",KEN
02G-0400,"4"" GRV BFV W/SWITCH UL/FM",KEN
02G-0600,"6"" GRV BFV W/SWITCH UL/FM",KEN
02GNC-0250,"2 1/2"" NORMALLY CLOSED GRV BFV",KEN
02GNC-0300,"3"" NORMALLY CLOSED GRV BFV",KEN
02GNC-0400,"4"" NORMALLY CLOSED GRV BFV",KEN
02GNC-0600,"6"" NORMALLY CLOSED GRV BFV",KEN
02GNC-0800,"8"" NORMALLY CLOSED GRV BFV",KEN
03003A,"SPRING,SPRING",
03007A,"KIT,
03025BA,GENERIC","BR"""
03025BG,"GENERIC DEFLECTOR,
03110,1 - 2 1/2 STEEL PIPE CUTTER,REE
03114,1-21/2 EXHEAVY STL PIPE CUTTER,REE
03120,2 - 4 STEEL PIPE CUTTER,REE
03-121,3/4 X 520 TEFLON TAPE,FPP
03-122-00,1 X 520 THREAD TAPE HD,FPP
03-123,1/2 X 520 THREAD TAPE HD,FPP
03124,2-4 EXHEAVY STEEL PIPE CUTTER,REE
03-124,3/4 X 520 THREAD TAPE HD,FPP
03-133,1 PT PIPEFIT THD SEALNT,FPP
03-135,PIPEFIT THREAD COMPOUND QT,FPP
03-136,1 QT PIPEFIT THD SEALNT,FPP
03-139,PIPEFIT 5 GAL. PAIL,FPP
03-140,PIPE FIT 55 GAL DRUM,FPP
03-150,LUBEFIT",LUBRICANT
03-152,55 GAL EASE ON PIPE LUBE,FPP
03156,H12XX HINGED PIPE CUTTERS,REE
03-160,THREADFIT CUTTING OIL 1 GAL,FPP
03-160-10,CLR THRDFIT CUTTING OIL 1 GAL,FPP
03-162-10,CLR THRDFIT CUTTING OIL 5 GAL,FPP
03-164,THREADFIT CUTTING OIL 55 GAL,FPP
03-164-00,DARK THRDFIT CUT OIL 55 GAL,FPP
03-164-10,CLR THRDFIT CUTTING OIL 55 GAL,FPP
03-166-10,CLR THRDFIT CUTTING OIL 275 GA,FPP
03-170,"PIPEFIT PAINT MARKER,MARKER
03-175,PIPEFIT PAINT MARKER WHITE,FPP
03-177,PIPEFIT PAINT MARKER RED,FPP
031N,ORING FOR 21/2""""-6"""" 350/350A""",WIL
03-200,10.5 OZ BLAZEMASTER CAULK&WALK,FPP
03270A,"RUBBER,
03271A,RUBBER",
03272A,"RUBBER,
03273A,RUBBER",
03281A,"RUBBER,
03-305,PIPEFIT AS ANAEROBIC 250 ML,FPP
03-310,PIPEFIT AS ANAEROBIC 750 ML,FPP
03312B,SHAFT"," WATER MOTOR"""
03-313,PIPEFIT AS ANAEROBIC 7 LTR,FPP
03320,1/8-2 SINGLE WHEEL PIPE CUTTER,REE
03330A,"SCW,
03338,1/2 - 2 FOUR WHEEL PIPE CUTTER,REE
03-350,50 ML WELD SEALANT,FPP
03-355,WELDFIT APS 1L,FPP
03416,1/4-15/8 METAL QK REL TUB CUTT,REE
03429A,GUARD",
03483,1/8-1 TUB CUTTER WITH O WHEEL,REE
03485,3/16-11/4 TUB CUTTER W/ OWHEEL,REE
034SL0600EG,3/8X6 RETRO RETAIN STRAP EG UL,ERC
034SL0800EG,3/8X8 RETRO RETAIN STRAP EG UL,ERC
034SL1000EG,3/8X10 RETRO RETAIN STRAP UL,ERC
